company_id,company_name,prefecture,address,phone,url,status
00-024796,アサヒグローバルホーム㈱,三重,四日市市ときわ１－２－１８,059－359－1000,https://asahigloval.co.jp,pending
00-023501,三交不動産㈱,三重,津市丸之内９－１８,059－227－5111,https://re.sanco.co.jp,pending
00-026486,㈱住生活研究所,三重,桑名市新西方７－１２,0594－25－8557,"https://www2.aqura.co.jp/lab/#:~:text=%E4%BD%8F%E3%81%BF%E3%81%94%E3%81%93%E3%81%A1%E3%83%BB%E4%BD%8F%E3%81%BF%E3%81%94%E3%81%9F%E3%81%88%E3%83%BB%E4%BD%8F%E3%81%BF,%E6%80%A7%E3%81%AB%E3%81%A4%E3%81%84%E3%81%A6%E7%A0%94%E7%A9%B6%E3%81%97%E3%81%BE%E3%81%99%E3%80%82&amp;text=%E5%A4%A7%E5%AD%A6%E3%81%AA%E3%81%A9%E3%81%AE%E5%A4%96%E9%83%A8%E3%81%AE,%E7%92%B0%E5%A2%83%E3%81%AB%E3%81%A4%E3%81%84%E3%81%A6%E7%A0%94%E7%A9%B6%E3%81%97%E3%81%BE%E3%81%99%E3%80%82",pending
24-021915,ハウスクラフト㈱,三重,三重郡菰野町福村７９５－１,059－394－2005,https://www.house-craft.jp,pending
24-015428,三重県労働者住宅（生協）,三重,津市栄町１－８９１,059－225－0851,https://www.mie-jsk.or.jp,pending
00-023752,㈱やまぜんホームズ,三重,桑名市多度町下野代９００,0594－48－5224,"https://onetop-japan.jp/real-estate/yamazen-price/#:~:text=%E3%82%84%E3%81%BE%E3%81%9C%E3%82%93%E3%83%9B%E3%83%BC%E3%83%A0%E3%82%BA%E3%81%AF%E3%80%81%E4%B8%89%E9%87%8D%E7%9C%8C%E3%80%81%E6%84%9B%E7%9F%A5%E7%9C%8C%E3%80%81%E5%B2%90%E9%98%9C,%E3%81%A7%E6%8F%90%E4%BE%9B%E3%81%97%E3%81%A6%E3%81%84%E3%81%BE%E3%81%99%E3%80%82",pending
24-014245,㈱サンクスホーム,三重,津市高茶屋小森上野町１３６２－３,059－234－1122,https://sunkushome.jp,pending
00-027170,㈱サティスホーム,三重,四日市市石塚町８－２４,059－351－1376,https://kiwacocoro.co.jp,pending
24-013941,㈱フェイスジャパン,三重,松阪市東町６０１－１,0598－31－1720,https://yomotto.jp/2023/04/13/946032,pending
24-014053,㈱中美建設,三重,伊勢市村松町１３８０－１８,0596－37－5588,https://www.nakayoshi.jp,pending
24-015944,㈱ＨＡＲＭＯＮＹ,三重,津市藤方１０３６－１,059－273－5445,https://shizensozainoie.co.jp,pending
24-013636,明松ホーム㈱,三重,多気郡明和町馬之上８９２－５,0596－52－3988,https://kiwacocoro.co.jp,pending
24-013484,㈲北山建築,三重,松阪市新町９９５,0598－25－2820,https://kokorohome.co.jp,pending
24-022475,Ａｒｃｈｉｓｈ　Ｄｅｓｉｇｎ㈱,三重,四日市市芝田１－１－６－１Ｂ,059－327－7181,https://www.mie-uij.jp/facility/detail/420,pending
24-022640,Ｃａｓａ㈱,三重,四日市市石塚町２－１３,059－358－7272,"https://jobtalk.jp/companies/23771#:~:text=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BECasa%E3%81%AF%E3%80%81%E6%9D%B1%E4%BA%AC,%E9%AB%98%E3%81%AF102%E5%84%84%E5%86%86%E3%80%82",pending
24-018692,㈱ＫＹＫ,三重,桑名市新西方５－３８１,0594－88－5220,https://k-style-housing.co.jp,pending
24-010564,中部住研㈱,三重,四日市市青葉町７８０－４,059－352－1220,https://www.kiwacocoro.co.jp,pending
24-006981,㈱幸三建設,三重,津市上弁財町津興２８７１,059－224－0035,https://xn--w8jvl3b6d9gz83xm5o0mc223e.jp/portal/supporter/mie/kousankensetsu,pending
24-019042,㈱アサヒ住宅,三重,尾鷲市南陽町９－３７,0597－22－2433,https://asahi.live-web.jp,pending
24-008362,池田建設㈱,三重,津市高茶屋小森上野町１１８０－１,059－269－7676,https://ike-da.co.jp,pending
T24-003630,㈱平屋くん,三重,亀山市東丸町５２４,0595－83－0075,"https://888house.jp/column/2241/#:~:text=%E5%B9%B3%E5%B1%8B%E3%81%AE%E5%BB%BA%E7%89%A9%E3%81%AE%E3%81%BF%E3%81%A7,2LDK%E3%81%8C%E6%8C%99%E3%81%92%E3%82%89%E3%82%8C%E3%81%BE%E3%81%99%E3%80%82",pending
24-011637,森大建地産㈱,三重,伊賀市猿野１２３８,0595－48－0331,https://www.igaportal.co.jp/store/2138,pending
24-003817,㈱上村工務店,三重,志摩市阿児町鵜方２４６２－３,0599－43－2402,https://shimasho.jp/kigyo-guide/contents/det.php,pending
24-000601,㈱フォレスト・オオモリ,三重,四日市市札場町４０６,059－337－0780,https://forest-o.co.jp,pending
24-011164,㈱平安コーポレーション,三重,名張市鴻之台４番町６０,0595－62－1450,https://www.heian-group.jp,pending
24-008118,㈱タイセ,三重,松阪市塚本町１４９－１,0598－31－3035,https://www.eyefulhome-miematusaka.jp/eyefulhome,pending
24-008846,㈱山口工務店,三重,伊勢市浦口２－９－２５,0596－23－1578,https://www.yamaguchi-co.co.jp,pending
24-013816,エクセレントホーム㈱,三重,松阪市内五曲町９１－９,0598－20－8800,https://excellent-home.co.jp,pending
24-014014,㈱昭栄建設,三重,伊勢市小木町４９３,0596－72－8221,https://www.safety1-shoei.jp/ci/profile.htm,pending
24-009225,㈱中里工務店,三重,伊賀市緑ケ丘南町４４０８－７,0595－21－5303,http://www.nakazatokoumuten.co.jp,pending
24-014627,㈱ハウスワン,三重,松阪市大津町２９７－１,0598－20－8787,https://www.ohno-cc.co.jp,pending
24-008736,船谷建設㈱,三重,伊勢市村松町１３６４－８,0596－37－5111,https://funatani-hd.jp,pending
24-013931,Ｐｏｍアーキテクトデザイン㈱,三重,松阪市上蛸路町５６３－２,0598－29－2088,https://pomarchi.co.jp,pending
00-025281,㈱大藤工務店,三重,四日市市東日野町２８９－３,059－321－1800,https://www.daitoukoumuten.co.jp,pending
24-008678,㈲竹ヤ装建,三重,度会郡玉城町久保２０８,0596－24－1387,https://kizna-house.com,pending
24-014603,㈱タイセイ・ホームメイク,三重,伊勢市村松町１３８０－１１,0596－38－0877,https://www.emono.jp/detail-7604.html,pending
24-016216,㈱プラスワン,三重,津市渋見町４１０－９,059－222－5050,https://www.plus--one.co.jp/company,pending
24-013076,㈱モリハウス建設,三重,松阪市高町２０１－２,0598－52－2626,https://molink.jp/company/317,pending
24-011583,㈱Ｙ’ｓ　ｃｏｒｐｏｒａｔｉｏｎ,三重,名張市桔梗が丘５番町２－７８,0595－66－5700,http://y-scorporation.co.jp,pending
24-013364,㈱高正工務店,三重,松阪市駅部田町１２３－３,0598－31－3333,https://hapisumu.jp/company/46006/interview,pending
