company_id,company_name,prefecture,address,phone,url,status
09-022719,グランディハウス㈱,栃木,宇都宮市大通り４－３－１８,028－650－7777,https://www.grandy.jp/tochigiken,pending
00-015069,トヨタウッドユーホーム㈱,栃木,宇都宮市一ノ沢町２５６－７,028－627－7777,https://www.toyota-woodyou.co.jp/tochigi,pending
00-018017,コンチネンタルホーム㈱,栃木,佐野市大町２９７９－１,0283－24－7544,https://ikeko1947.jp,pending
09-010051,㈱小堀建設,栃木,矢板市扇町２－６－３２,0287－43－3644,https://www.kbr.co.jp,pending
09-016373,㈱むぎくら,栃木,宇都宮市上戸祭町３００７－２２,028－643－2331,https://www.mugikura.co.jp,pending
00-014066,宇都宮アイフルホーム㈱,栃木,宇都宮市下栗町２３０１－８,028－656－5100,https://house.home4u.jp/contents/maker-24-11745,pending
09-022929,㈱木の花ホーム,栃木,栃木市西方町本城６２－３,0282－92－0198,https://ikeko1947.jp,pending
09-007158,㈱川堀工務店,栃木,宇都宮市石井町２５７８,028－688－0180,https://tgnr.jp/company/kawahori,pending
09-022272,㈱スタイリッシュハウス,栃木,足利市葉鹿町２－３０－１６,0284－22－8855,https://www.stylish-house.com,pending
09-021304,㈱ハウス－弐拾壱,栃木,足利市大久保町１２３３,0284－91－3663,https://www.house21.co.jp,pending
09-022009,㈱ＧＡＬＬＥＲＹ　ＨＯＵＳＥ,栃木,宇都宮市鶴田町２０３９－４,028－648－0789,https://ikeko1947.jp,pending
09-008943,東建産業㈱,栃木,足利市島田町８２０,0284－72－0643,http://www.tooken-k.co.jp,pending
09-014550,㈱中村ハウジング,栃木,宇都宮市今泉町８４７－２２,028－621－7587,https://next-haus.jp,pending
09-022354,㈱緑新,栃木,矢板市中４３８－９,0287－44－1611,https://www.ryokushin.co.jp,pending
09-023883,ランド・フォレスト㈱,栃木,宇都宮市東宿郷５－８－２２,028－678－5122,https://landforest.co.jp,pending
09-022480,㈱洋館家本店,栃木,鹿沼市西茂呂１－３－１３,0289－64－3138,https://www.youkanya.com,pending
09-026007,アートナイヴ㈱,栃木,宇都宮市下栗町２３０３－１８,028－678－2257,https://artnive.com,pending
09-003274,㈱カクニシビルダー,栃木,鹿沼市上野町２８１－４,0289－63－6111,https://kakunishi.co.jp,pending
00-027917,潮田建設㈱,栃木,小山市駅東通り２－３９－１１,0285－25－6756,http://www.ushioda.co.jp/company,pending
09-016771,㈱テクノホーム,栃木,宇都宮市御幸ケ原町１５０－２７,028－660－6145,https://technohome.co.jp,pending
09-023353,ユーディーホーム㈱,栃木,那須塩原市上厚崎３６８－９,0287－74－2121,https://ud2001.jp,pending
09-020154,栃木ハウス㈱,栃木,鹿沼市上野町３３１－１,0289－63－5255,https://ikeko1947.jp,pending
09-023092,塚本産業㈱,栃木,真岡市荒町５７－１８,0285－82－3301,https://ikeko1947.jp,pending
09-023686,㈱グッドリビング北関東,栃木,河内郡上三川町磯岡６００,0285－32－6322,https://ikeko1947.jp,pending
09-019211,㈱ドリームクリエイト,栃木,佐野市鐙塚町１７６－３,0283－22－6377,https://ikeko1947.jp,pending
09-013106,丸二産業㈱,栃木,鹿沼市樅山町４５－１,0289－62－2294,https://ikeko1947.jp,pending
09-023381,㈱野口建設,栃木,足利市芳町３４－２,0284－43－0920,https://noguchikensetsu.jp,pending
09-026588,アオイホーム㈱,栃木,栃木市大平町富田４０２０－４２,0282－51－7809,https://ikeko1947.jp,pending
09-023657,㈱リアンコーポレーション,栃木,宇都宮市西原町１９５－２,028－678－5493,https://lien-co.jp,pending
